

epa_id,year,gen_count,gen_tons,trans_count,trans_tons,tsdf_count,tsdf_tons
CA9170027271,2012,40,90.828,0,0,0,0
CA9170027271,2011,54,158.36033,0,0,0,0
CA9170027271,2010,49,99.34416,0,0,0,0
CA9170027271,2009,64,186.92769,0,0,0,0
CA9170027271,2008,37,89.57797,0,0,0,0
CA9170027271,2007,41,73.76042,0,0,0,0
CA9170027271,2006,34,90.42141,0,0,0,0
CA9170027271,2005,37,333.37484,0,0,0,0
CA9170027271,2004,52,207.55282,0,0,0,0
CA9170027271,2003,83,1055.72737,0,0,0,0
CA9170027271,2002,69,373.08426,0,0,0,0
CA9170027271,2001,70,277.64277,1,0.295,0,0
CA9170027271,2000,82,453.92251,1,6.425,0,0
CA9170027271,1999,30,241.79539,0,0,0,0
CA9170027271,1998,67,474.19541,0,0,0,0
CA9170027271,1997,211,4517.26856,1,0.0355,0,0
CA9170027271,1996,194,640.42671,2,0.086,0,0
CA9170027271,1995,139,521.76142,0,0,0,0
CA9170027271,1994,79,575.1009,0,0,0,0
CA9170027271,1993,158,491.46684,0,0,0,0
CAC003276173,2024,1,0.8428,0,0,0,0
CAC003275170,2024,1,1.6856,0,0,0,0
CA0000005173,2024,13,30.829,0,0,0,0
CA0000005173,2023,23,21.275,0,0,0,0
CA0000005173,2022,8,1.3465,0,0,0,0
CA0000005173,2021,11,1.3245,0,0,0,0
CA0000005173,2020,12,4.5935,0,0,0,0
CA0000005173,2019,16,9.554,0,0,0,0
CA0000005173,2018,11,10.6015,0,0,0,0
CA0000005173,2017,7,0.8845,0,0,0,0
CA0000005173,2016,8,0.3315,0,0,0,0
CA0000005173,2015,8,11.6243,0,0,0,0
CA0000005173,2014,9,14.94436,0,0,0,0
CA0000005173,2013,3,0.873,0,0,0,0
CA0000005173,2012,2,6.9225,0,0,0,0
CA0000005173,2011,1,0.0625,0,0,0,0
CA0000005173,2010,2,0.3317,0,0,0,0
CA0000005173,2009,2,0.5465,0,0,0,0
CA0000005173,2008,7,2.0275,0,0,0,0
CA0000005173,2007,6,1.431,0,0,0,0
CA0000005173,2006,11,1.40355,0,0,0,0
CA0000005173,2005,42,3.52592,0,0,0,0
CA0000005173,2004,49,6.68353,0,0,0,0
CA0000005173,2003,43,7.13102,0,0,0,0
CA0000005173,2002,45,7.5897,0,0,0,0
CA0000005173,2001,47,6.98497,0,0,0,0
CA0000005173,2000,39,4.75388,0,0,0,0
CA0000005173,1999,40,5.94239,0,0,0,0
CA0000005173,1998,4,11.8257,0,0,0,0
CA0000005173,1997,7,25.4849,0,0,0,0
CA0000005173,1996,1,0.23,0,0,0,0
CAC003275672,2024,2,1.6856,0,0,0,0
CA9180090129,2021,4,0.6475,0,0,0,0
CA9180090129,2018,2,0.155,0,0,0,0
CA9180090129,2014,2,0.225,0,0,0,0
CA9180090129,2012,2,0.08,0,0,0,0
CA9180090129,2011,2,0.65,0,0,0,0
CA9180090129,2009,1,0.525,0,0,0,0
CA9180090129,2008,2,0.35,0,0,0,0
CA9180090129,2005,2,0.495,0,0,0,0
CA9180090129,2004,4,0.8117,0,0,0,0
CA9180090129,2003,1,0.168,0,0,0,0
CA9180090129,2002,4,0.571,0,0,0,0
CA9180090129,2001,2,0.2307,0,0,0,0
CA9180090129,2000,2,0.269,0,0,0,0
CA9180090129,1999,5,0.72551,0,0,0,0
CA9180090129,1998,3,1.4046,0,0,0,0
CA9180090129,1997,2,0.5208,0,0,0,0
CA9180090129,1996,2,0.2927,0,0,0,0
CA9180090129,1993,2,0.80361,0,0,0,0
CAC003276174,2024,1,1.6856,0,0,0,0
CA0000005918,2022,3,20.92571,0,0,0,0
CA0000005918,2021,2,37.53128,0,0,0,0
CA0000005918,2005,2,3.685,0,0,0,0
CA0000005918,2004,7,5.36257,0,0,0,0
CA0000005918,2003,4,0.0798,0,0,0,0
CA0000005918,2002,8,0.462,0,0,0,0
CA0000005918,2001,7,0.1344,0,0,0,0
CA0000005918,2000,6,1.6926,0,0,0,0
CA0000005918,1999,7,0.1176,0,0,0,0
CA0000005918,1998,6,0.0936,0,0,0,0
CA0000005918,1997,7,0.3594,0,0,0,0
CA0000005918,1996,6,0.0864,0,0,0,0
CA0000005918,1995,1,0.0144,0,0,0,0
CAC003275673,2024,1,0.01,0,0,0,0
CA9180090228,2024,11,1.32552,0,0,0,0
CA9180090228,2023,13,1.01,0,0,0,0
CA9180090228,2022,13,0.565,0,0,0,0
CA9180090228,2021,11,0.74106,0,0,0,0
CA9180090228,2020,13,0.5625,0,0,0,0
CA9180090228,2019,16,2.29378,0,0,0,0
CA9180090228,2018,16,2.16486,0,0,0,0
CA9180090228,2017,12,1.27552,0,0,0,0
CA9180090228,2016,11,1.34244,0,0,0,0
CA9180090228,2015,11,1.66874,0,0,0,0
CA9180090228,2014,9,2.2243,0,0,0,0
CA9180090228,2013,9,0.3966,0,0,0,0
CA9180090228,2012,4,0.9347,0,0,0,0
CA9180090228,2011,6,0.5453,0,0,0,0
CA9180090228,2010,5,0.18,0,0,0,0
CA9180090228,2009,7,0.9772,0,0,0,0
CA9180090228,2008,7,1.747,0,0,0,0
CA9180090228,2007,21,11.4355,5,0.731,0,0
CA9180090228,2006,26,4.49865,1,0.119,0,0
CA9180090228,2005,28,19.90916,0,0,0,0
CA9180090228,2004,21,8.2366,0,0,0,0
CA9180090228,2003,23,11.82296,0,0,0,0
CA9180090228,2002,25,11.55802,0,0,0,0
CA9180090228,2001,27,12.29816,0,0,0,0
CA9180090228,2000,21,6.729,0,0,0,0
CA9180090228,1999,27,17.03006,0,0,0,0
CA9180090228,1998,14,17.71497,0,0,0,0
CA9180090228,1997,14,12.92303,0,0,0,0
CA9180090228,1996,15,10.76273,0,0,0,0
CA9180090228,1995,17,8.13994,0,0,0,0
CA9180090228,1994,18,6.51212,0,0,0,0
CA9180090228,1993,18,1.3555,0,0,0,0
